Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Project Outputs for esp32_with_usbc\Pick Place for esp32_with_usbc_1st'one.csv

========================================================================================================================
File Design Information:

Date:       20/08/26
Time:       23:09
Revision:   6048921cb7895c3d1369ac18139b93e4aafa96a2
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","Single Output Low Noise LDO, 1.5 A, Fixed 3.3 V Output, 2.1 to 20 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","750.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2544.409","480.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","SWITCH TACTILE SPST-NO 0.05A 16V","TopLayer","FP-PTS810SJM250SMTRLFS-MFG","1600.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 16V"
"SW1","SWITCH TACTILE SPST-NO 0.05A 16V","TopLayer","FP-PTS810SJM250SMTRLFS-MFG","1600.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 16V"
"R26","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2171.732","430.000","180",""
"R25","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2171.732","496.000","180",""
"R24","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2138.268","430.000","0",""
"R23","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2138.268","496.000","0",""
"R22","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2202.000","143.000","180",""
"R21","jumper 0R","TopLayer","RESC1005X40X25NL05T10","2123.268","143.000","180",""
"R20","10K(1%)","TopLayer","FP-RC3225-IPC_C","1813.000","346.000","90","Res Thick Film 1210 10kO 1% 0.333W ±100ppm/°C Pad SMD T/R"
"R19","27O 0.0625W 1% 100ppm/°","TopLayer","FP-CR0402-MFG","2153.000","785.000","0","Thick Film Chip Resistors 0402 27O 0.0625W 1% 100ppm/°C"
"R18","27O 0.0625W 1% 100ppm/°","TopLayer","FP-CR0402-MFG","2153.000","837.000","0","Thick Film Chip Resistors 0402 27O 0.0625W 1% 100ppm/°C"
"R17","5.1kO, 1%","TopLayer","FP-TFCR0603-IPC_C","450.000","170.000","90","RES Thin Film,  5.1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R16","5.1kO, 1%","TopLayer","FP-TFCR0603-IPC_C","450.000","273.701","90","RES Thin Film,  5.1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R15","10K(1%)","TopLayer","FP-RC3225-IPC_C","956.000","596.000","180","Res Thick Film 1210 10kO 1% 0.333W ±100ppm/°C Pad SMD T/R"
"R14","4.7K","TopLayer","RESC1005X40X25NL05T10","913.284","678.858","0",""
"R13","10K(1%)","TopLayer","FP-RC3225-IPC_C","957.000","479.000","0","Res Thick Film 1210 10kO 1% 0.333W ±100ppm/°C Pad SMD T/R"
"R12","5.1kO, 1%","TopLayer","FP-TFCR0603-IPC_C","450.000","723.701","90","RES Thin Film,  5.1kO, 1%, 0.1W, 25ppm/°C, 0603"
"R11","jumper 0R","TopLayer","RESC1005X40X25NL05T10","595.000","604.268","90",""
"R10","10K(1%)","TopLayer","FP-RC3225-IPC_C","1169.000","764.000","270","Res Thick Film 1210 10kO 1% 0.333W ±100ppm/°C Pad SMD T/R"
"R9","27O 0.0625W 1% 100ppm/°","TopLayer","FP-CR0402-MFG","552.000","765.000","0","Thick Film Chip Resistors 0402 27O 0.0625W 1% 100ppm/°C"
"R8","27O 0.0625W 1% 100ppm/°","TopLayer","FP-CR0402-MFG","552.000","715.000","0","Thick Film Chip Resistors 0402 27O 0.0625W 1% 100ppm/°C"
"R7","jumper 0R","TopLayer","RESC1005X40X25NL05T10","866.268","856.000","180",""
"R6","1KR","TopLayer","FP-CPF0603-MFG","1987.000","721.000","0","RES SMD 1.0KO 1% 1/16W 0603"
"R5","1KR","TopLayer","FP-CPF0603-MFG","1987.567","607.000","0","RES SMD 1.0KO 1% 1/16W 0603"
"R4","10K(1%)","TopLayer","FP-RC3225-IPC_C","1169.000","597.000","90","Res Thick Film 1210 10kO 1% 0.333W ±100ppm/°C Pad SMD T/R"
"R3","5.1kO, 1%","TopLayer","FP-TFCR0603-IPC_C","450.000","826.299","270","RES Thin Film,  5.1kO, 1%, 0.1W, 25ppm/°C, 0603"
